Contrato;ProcessoContrato;AssinaturaContrato;ObjetoContrato;FavorecidoContrato;CPF/CNPJContrato;SituaçãoContrato;ValorContrato
000121/2019;004210/2018;31/05/2019;AQUISICAO DE EQUIPAMENTOS E MOBILIARIOS PARA O PREDIO ONDE SERAO INSTALADOS O MUSEU, BIBLIOTECA E O ARQUIVO MUNICIPAL - CONTRATO DE REPASSE N° 840583/2016/MTUR;C L Costa Comercio e Servicos LTDA ME;17.884.676/0001-98;TERMINO DE PRAZO;10187,7
000120/2019;004210/2018;31/05/2019;AQUISICAO DE EQUIPAMENTOS E MOBILIARIOS PARA O PREDIO ONDE SERAO INSTALADOS O MUSEU, BIBLIOTECA E O ARQUIVO MUNICIPAL - CONTRATO DE REPASSE N° 840583/2016/MTUR;Cazele Sport Ltda EPP;30.579.577/0001-60;TERMINO DE PRAZO;10929,9
000119/2019;004210/2018;31/05/2019;AQUISICAO DE EQUIPAMENTOS E MOBILIARIOS PARA O PREDIO ONDE SERAO INSTALADOS O MUSEU, BIBLIOTECA E O ARQUIVO MUNICIPAL - CONTRATO DE REPASSE N° 840583/2016/MTUR;Geraldo A. das Chagas Me;07.355.284/0001-88;TERMINO DE PRAZO;8943
000118/2019;004210/2018;31/05/2019;AQUISICAO DE EQUIPAMENTOS E MOBILIARIOS PARA O PREDIO ONDE SERAO INSTALADOS O MUSEU, BIBLIOTECA E O ARQUIVO MUNICIPAL - CONTRATO DE REPASSE N° 840583/2016/MTUR;Daiane Martins Gomes 07656709681;27.598.187/0001-23;TERMINO DE PRAZO;10509,9
000117/2019;005094/2018;29/05/2019;CONTRATACAO DE EMPRESA/PROFISSIONAL ESPECIALIZADO PARA REALIZACAO DE PLANOS DE CARGOS, CARREIRAS E VENCIMENTOS DOS SERVIDORES DA EDUCACAO BASICA (MAGISTERIO E SERVICO DE APOIO EDUCACIONAL) DO MUNICIPIO DE JERONIMO MONTEIRO.;Gualimp Assessoria e Consultoria LTDA;39.315.221/0001-94;Vigente;58490
000116/2019;001877/2019;29/05/2019;Contratacao de show musical  regional com a banda Curtsom, a ser realizado no dia 24-05-2019, na praca da Biblia, localizada no cento da cidade, no evento UFES na praca.;Eliel de Vasconcellos Gallo 03093429706;28.648.701/0001-50;TERMINO DE PRAZO;2000
000115/2019;001011/2018;23/05/2019;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE TRANSPORTE DE PESSOAS, PARA OS DIVERSOS ATENDIMENTOS DAS SECRETARIAS, PELO PERIODO DE 12 MESES.;Locadora de Veiculos Mello's Ltda;09.196.264/0001-37;Vigente;86000
000114/2019;001921/2019;23/05/2019;Aquisicao de marmitex para serem fornecidas aos profissionais da Secretaria Municipal de Saude nas realizacoes das campanhas de vacinacao a serem realizadas no exercicio de 2019.;Restaurante e Lanchonete Vinte Ver Ltda - ME;20.714.318/0001-41;TERMINO DE PRAZO;960
000113/2019;005421/2018;23/05/2019;CONTRATACAO DE EMPRESAS ESPECIALIZADAS EM LOCACOES EM GERAL E ELABORACAO DE VIDEOS INSTITUCIONAIS TURISTICOS, PARA REALIZACOES DOS FESTEJOS DO MUNICIPIO;Exata Eventos LTDA EPP;13.318.058/0003-91;TERMINO DE PRAZO;840
000112/2019;001067/2018;22/05/2019;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;Cazele Sport Ltda EPP;30.579.577/0001-60;TERMINO DE PRAZO;4780
000111/2019;001067/2018;22/05/2019;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;Campos e Gomes Ltda ME;17.010.855/0001-04;TERMINO DE PRAZO;2135
000110/2019;002315/2018;21/05/2019;AQUISICAO DE GENEROS ALIMENTICIOS NAO PERECIVEIS, PARA EXECUCAO DO PROGRAMA MUNICIPAL DE ALIMENTACAO ESCOLAR, PARA ATENDIMENTO A CASA DE PASSAGEM DO MUNICIPIO E DEMAIS NECESSIDADES DAS SECRETARIAS MUNICIPAIS.;Braseiro Restaurantes, Comercio e Servicos EIRELI;09.086.681/0001-27;TERMINO DE PRAZO;993
000109/2019;001665/2019;20/05/2019;Aquisicao de fornecimento estimado de lanches e refrigerantes para atender os Policiais Militares que estarao a servico durante os festejos da XXVI Expoagro de Jeronimo Monteiro a ser realizada no periodo de 05 a 08 de setembro de 2019.;Renata Medeiros Cabral;19.368.710/0001-05;TERMINO DE PRAZO;2660
000108/2019;006099/2018;20/05/2019;Contratacao de profissional de engenharia, na area de telecomunicacoes, para realizacao de requerimento junto a ANATEL - Agencia Nacional de Telecomunicacoes, solicitando canais de retransmissao de TV para esta Municipalidade.;GAUDIO COMUNICACOES LTDA;07.750.867/0001-03;TERMINO DE PRAZO;14000
000107/2019;001312/2019;16/05/2019;Contratacao de empresa especializada para prestacao de servicos de desinsetizacao, desratizacao, descupinizacao e higienizacao nas escolas da rede Municipal, Biblioteca Municipal e predio da Secretaria Municipal de Educacao.;Edimar Miranda Santiago - ME;06.311.496/0001-09;TERMINO DE PRAZO;1259
000106/2019;004250/2018;16/05/2019;AQUISICAO ESTIMADA DE MATERIAIS DE CONSTRUCAO E ELETRICOS PARA ATENDIMENTO AS DEMANDAS DAS SECRETARIAS MUNICIPAIS;Treze Material de Const. e Incorporacao Ltda;01.070.171/0001-50;TERMINO DE PRAZO;41669,85
000105/2019;002131/2019;16/05/2019;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº 000037/2018;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;TERMINO DE PRAZO;19000
000104/2019;000490/2019;15/05/2019;AQUISICAO DE GENEROS ALIMENTICIOS PERECIVEIS E NAO PERECIVEIS, PARA EXECUCAO DO PROGRAMA DE ALIMENTACAO ESCOLAR, BEM COMO PARA ATENDIMENTO DA CASA DE PASSAGEM E DEMAIS NECESSIDADES DAS SECRETARIAS MUNICIPAIS.;Sebastiao Marques da Silva e CIA EPP;30.780.191/0001-12;TERMINO DE PRAZO;1789,5
000103/2019;005520/2018;15/05/2019;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS PARA CONFECCAO DE LANCHES, VISANDO ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS.;Premium Comercio e Servicos Ltda EPP;97.530.106/0001-39;TERMINO DE PRAZO;4645
000102/2019;002133/2019;15/05/2019;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº 000037/2018;Auto Mecanica Andrade Ltda-ME;14.583.473/0001-73;TERMINO DE PRAZO;10000
000101/2019;002132/2019;15/05/2019;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº 000037/2018;MBS Tratores e Pecas Eireli EPP;03.793.468/0001-79;TERMINO DE PRAZO;10000
000100/2019;001399/2018;14/05/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;9069
000099/2019;001399/2018;14/05/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;TERMINO DE PRAZO;24359,75
000098/2019;005237/2018;14/05/2019;CONTRATACAO DE EMPRESA PARA RECAUCHUTAMENTO DE PNEUS PARA ATENDIMENTO DAS DEMANDAS PROVENIENTES DAS SECRETARIAS MUNICIPAIS.;Albatroz Pneus e Servicos Eireli - ME;25.450.715/0001-77;TERMINO DE PRAZO;10224
000097/2019;005237/2018;14/05/2019;CONTRATACAO DE EMPRESA PARA RECAUCHUTAMENTO DE PNEUS PARA ATENDIMENTO DAS DEMANDAS PROVENIENTES DAS SECRETARIAS MUNICIPAIS.;Renova Tracao Recapagem Ltda;22.317.892/0001-91;TERMINO DE PRAZO;23814
000096/2019;005352/2018;13/05/2019;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA EXECUCAO DE OBRA DE AMPLIACAO DA CRECHE MUNICIPAL QUE ESTA EM CONSTRUCAO, PERTENCENTE A ESTA MUNICIPALIDADE.;Nazca Engenharia Ltda ME;10.591.518/0001-09;Vigente;354873,9
000095/2019;001462/2019;13/05/2019;CONTRATACAO DE EMPRESA PARA REALIZACAO DE FORMACAO CONTINUADA, CONTEMPLANDO OS PROFESSORES, GESTORES, PEDAGOGOS E TECNICOS DA SECRETARIA MUNICIPAL DE EDUCACAO, NAS MODALIDADES DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL SERIES INICIAIS E FINAIS.;Visao Ambiental Consultoria LTDA - EPP;09.114.996/0001-30;TERMINO DE PRAZO;42625
000094/2019;005250/2018;09/05/2019;CONTRATACAO DE EMPRESA PARA ATUALIZACAO DO CODIGO TRIBUTARIO MUNICIPAL 874/1997 E CODIGO DE POSTURA 882/1997 E TODAS AS SUAS ALTERACOES;Heleno Saluci Brazil Sociedade Individual de Adv.;07.834.618/0001-04;TERMINO DE PRAZO;59000
000093/2019;002051/2019;06/05/2019;Locacao de imovel localizado na rua Joao Damasceno Caten, bairro parana, para acomodacao do setor de almoxarifado deste Fundo Municipal de Saude.;LOJA MACONICA DEOCLECIO RAMOS;36.403.905/0001-50;Vigente;6070,43
000092/2019;001940/2019;03/05/2019;Contratacao da empresa Eliel de Vasconcellos Gallo 03093429706, objetivando show musical e artistico com o grupo musical curtisom, a ser realizado no dia 05-05 (domingo) em virtude de festejos a serem realizados na Comunidade de Sao Floriano - Oriente.;Eliel de Vasconcellos Gallo 03093429706;28.648.701/0001-50;TERMINO DE PRAZO;2000
000091/2019;004721/2018;17/04/2019;Contratacao de empresa para realizacao de manutencao tecnica preventiva e corretiva em equipamentos odontologicos em todas as unidades de saude pertencentes a este Municipio.;ABILIO A. TOZANI - ME;19.282.909/0001-08;TERMINO DE PRAZO;8250
000090/2019;001042/2018;16/04/2019;CONTRATACAO DE EMPRESA ESPECIALIZADA EM LOCACAO DE GERADORES E TRANSFORMADORES PARA OS FESTEJOS DO MUNICIPIO.;Salespe Material Eletrico Ltda - EPP;07.779.506/0001-90;TERMINO DE PRAZO;15436
000089/2019;000723/2019;15/04/2019;Aquisicao de toldos (fixo e movel) a serem instalados no CMEI Diva Saviatto Duarte, em substituicao aos ja existentes, considerando que estes foram danificados pelo tempo, perdendo assim sua funcao.;A. P. de Oliveira Toldos e Coberturas;09.651.042/0001-67;TERMINO DE PRAZO;4005
000088/2019;001067/2018;15/04/2019;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;Campos e Gomes Ltda ME;17.010.855/0001-04;TERMINO DE PRAZO;2135
000087/2019;001381/2018;11/04/2019;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS DE SEGURANCA DURANTE OS EVENTOS A SEREM REALIZADOS PELO MUNICIPIO DE JERONIMO MONTEIRO;SVA Seguranca e Vigilancia Armada LTDA;08.944.765/0001-91;TERMINO DE PRAZO;31500
000086/2019;001011/2018;09/04/2019;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE TRANSPORTE DE PESSOAS, PARA OS DIVERSOS ATENDIMENTOS DAS SECRETARIAS, PELO PERIODO DE 12 MESES.;Locadora de Veiculos Mello's Ltda;09.196.264/0001-37;TERMINO DE PRAZO;4816
000085/2019;001399/2018;09/04/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;5580
000084/2019;001399/2018;09/04/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;TERMINO DE PRAZO;9038,7
000083/2019;005020/2018;05/04/2019;CONTRATACAO DE EMPRESA PARA CONFECCAO DE PROTESES ODONTOLOGICAS PARA ATENDIMENTO AS ACOES DESENVOLVIDAS PELO FUNDO MUNICIPAL DE SAUDE;D. F Del'Esposti Protese Dentaria ME;13.294.515/0001-93;TERMINO DE PRAZO;55300
000082/2019;000515/2019;04/04/2019;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia,  em carater emergencial, para atendimento a pacientes deste Municipio, por periodo estimado em 2 meses.;CLINICA DE ULTRASSONOGRAFIA DR.PEDRO NAGIBE LTDA M;02.510.585/0002-04;TERMINO DE PRAZO;15908
000081/2019;000515/2019;04/04/2019;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia,  em carater emergencial, para atendimento a pacientes deste Municipio, por periodo estimado em 2 meses.;Patrick Barbosa Martins ME;23.891.037/0001-52;TERMINO DE PRAZO;1552
000080/2019;000253/2019;29/03/2019;Locacao de Portico de largada e Backdrop a ser instalado no municipio de Jeronimo Monteiro e prestacao de servicos de cronometragem eletronica por virtude da realizacao da ULTRAMARATONA RSRUNNERS, que acontecera no dia 26 de maio de 2019.;Adriana Goncalves Ferraz Valente - ME;20.718.843/0001-35;TERMINO DE PRAZO;4900
000079/2019;005237/2018;27/03/2019;CONTRATACAO DE EMPRESA PARA RECAUCHUTAMENTO DE PNEUS PARA ATENDIMENTO DAS DEMANDAS PROVENIENTES DAS SECRETARIAS MUNICIPAIS.;Albatroz Pneus e Servicos Eireli - ME;25.450.715/0001-77;TERMINO DE PRAZO;4400
000078/2019;000608/2019;21/03/2019;Adesao a Ata de Registro de Precos n°07-2018 oriunda do Pregao Eletronico n°19-2017 do FNDE-MEC, objetivando a aquisicao de veiculo de transporte escolar diario de estudantes, denominado de Onibus Rural Escolar (ORE), em atendimento as entidades educacion;MAN LATIN AMERICA IND. E COMERCIO DE VEICULOS LTDA;06.020.318/0001-10;TERMINO DE PRAZO;228912
000077/2019;006102/2017;18/03/2019;CONTRATACAO DE EMPRESA DE RADIOFUSAO, PARA PRESTACAO DE SERVICO DE INSERCOES DE 30 SEGUNDOS CADA, OBJETIVANDO A REALIZACAO DE DIVULGACOES DE ACOES, EVENTOS OU ATOS DA MUNICIPALIDADE.;Radio Cultura de Castelo FM LTDA;32.485.468/0001-00;TERMINO DE PRAZO;16982,56
000076/2019;001399/2018;18/03/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;TERMINO DE PRAZO;6960
000075/2019;001399/2018;18/03/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;9370
000074/2019;005745/2017;13/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;Licitando Comercio e Servicos Ltda Me;10.610.928/0001-41;TERMINO DE PRAZO;15729,01
000073/2019;005745/2017;13/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;RFL Comercial Ltda;01.260.374/0001-09;TERMINO DE PRAZO;2370,57
000072/2019;005745/2017;13/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;H. P. Embalagens LTDA;18.071.678/0001-20;TERMINO DE PRAZO;4934,76
000071/2019;005745/2017;13/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;NOVA CRIST EIRELI - ME;29.065.909/0001-00;TERMINO DE PRAZO;24777,9
000070/2019;005745/2017;12/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;JM Mercher Comercial DU REI ME.;15.112.495/0001-18;Rescisao;1591,55
000069/2019;005745/2017;12/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;M.G de Oliveira Milhorato - ME;02.396.150/0001-91;TERMINO DE PRAZO;1743,1
000068/2019;005745/2017;12/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;Agnes Comercial Ltda;03.450.477/0001-67;TERMINO DE PRAZO;4722,9
000067/2019;005745/2017;12/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;Delta Pack Comercial Eireli - EPP;04.832.830/0001-36;TERMINO DE PRAZO;1141,2
000066/2019;005745/2017;12/03/2019;AQUISICAO ESTIMADA DE MATERIAIS DE LIMPEZA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SUAS REPARTICOES NO EXERCICIO DE 2018.;Distribuidora Centro Sul Ltda - Me;06.190.976/0001-50;TERMINO DE PRAZO;3727,5
000065/2019;001091/2019;11/03/2019;AQUISICAO DE PO DE CAFE DE AGRICULTORES FAMILIARES CADASTRADOS NO PRONAF PARA ATENDIMENTO DAS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, PARA O EXERCICIO DE 2019, de acordo com a Chamada Publica n.º 000005/2018;MARIA ENIZETE DO NASCIMENTO SOUZA;***.275.807-**;TERMINO DE PRAZO;16960
000064/2019;000825/2019;11/03/2019;AQUISICAO DE PO DE CAFE DE AGRICULTORES FAMILIARES CADASTRADOS NO PRONAF PARA ATENDIMENTO DAS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, PARA OEXERCICIO DE 2019, de acordo com a Chamada Publica n.º 000005/2018;Estevao Mauri;***.099.797-**;TERMINO DE PRAZO;13184
000063/2019;001067/2018;07/03/2019;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;MEIRA.COM SERV EIRELI- ME;28.429.282/0001-66;TERMINO DE PRAZO;3703
000062/2019;001067/2018;07/03/2019;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;C L Costa Comercio e Servicos LTDA ME;17.884.676/0001-98;TERMINO DE PRAZO;840
000061/2019;001067/2018;07/03/2019;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;ATUANTE COMERCIO MAG STORE EIRELI EPP;17.270.584/0001-18;TERMINO DE PRAZO;9457
000060/2019;004757/2018;01/03/2019;AQUISICAO ESTIMADA DE PNEUS PARA ATENDIMENTO AS DEMANDAS DAS SECRETARIAS MUNICIPAIS;Filipe Augusto Drumond Soares ME;27.088.431/0001-08;TERMINO DE PRAZO;77264
000059/2019;000500/2019;28/02/2019;Aquisicao de generos alimenticios de  forma emergencial (itens fracassados/desertos em licitacoes realizadas anteriormente) para atendimento as escolas da Rede Municipal de Ensino e Secretaria de Assistencia Social, e suas dependencias.;Sebastiao Marques da Silva e CIA EPP;30.780.191/0001-12;TERMINO DE PRAZO;3452,06
000058/2019;000262/2019;28/02/2019;Locacao de separador de Publico, em virtude da realizacao dos eventos do municipio de Jeronimo Monteiro no ano de 2019.;L. Lino da Silva;18.703.267/0001-00;TERMINO DE PRAZO;10812
000057/2019;005315/2018;22/02/2019;CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS FUNERAIS, DESTINADO A PESSOAS CARENTES DO MUNICIPIO, INCLUINDO FORNECIMENTO DE URNA MORTUARIA E TRANSLADO (QUANDO NECESSARIO);Comercial Cantinho da Paz Ltda ME;05.410.392/0001-80;TERMINO DE PRAZO;4760
000056/2019;000689/2019;22/02/2019;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº 000037/2018;Auto Mecanica Andrade Ltda-ME;14.583.473/0001-73;TERMINO DE PRAZO;11000
000055/2019;000799/2019;22/02/2019;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº 000037/2018;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;TERMINO DE PRAZO;6000
000054/2019;001399/2018;19/02/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Tecnic Hidraulic Ltda Me;15.150.841/0001-52;TERMINO DE PRAZO;69846
000053/2019;001399/2018;19/02/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;H.P Meneguitte Peres- Tornearia- Me;25.970.824/0001-15;TERMINO DE PRAZO;20182,5
000052/2019;001399/2018;19/02/2019;CONTRATACAO ESTIMADA DE SERVICOS DE MANUTENCAO DE VEICULOS E GUINCHO VISANDO O ATENDIMENTO DAS NECESSIDADES PROVENIENTES DA FROTA DE VEICULOS DESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;6280
000051/2019;000604/2019;19/02/2019;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº 000037/2018;Auto Mecanica Andrade Ltda-ME;14.583.473/0001-73;TERMINO DE PRAZO;6000
000050/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Jonas dos Santos Oliveira Catem;***.279.077-**;TERMINO DE PRAZO;10759,59
000049/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Marcos Favaris Pavani;***.909.557-**;TERMINO DE PRAZO;2121
000048/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Maria Luiza Catein da Silva;***.953.547-**;TERMINO DE PRAZO;2121
000047/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Jose Carlos de Oliveira Silva;***.375.847-**;TERMINO DE PRAZO;3962,08
000046/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Edilson Ferreira da Silva;***.520.157-**;TERMINO DE PRAZO;3756,49
000045/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Augusto Josino de Almeida Pereira;***.550.677-**;TERMINO DE PRAZO;1134,1
000044/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Gerci Zucoloto;***.400.577-**;TERMINO DE PRAZO;3285,35
000043/2019;005504/2018;18/02/2019;Aquisicao de generos alimenticios da Agricultura Familiar e do Empreendedor Familiar Rural, para atendimento do Programa Nacional de Alimentacao Escolar, entre os meses de fevereiro a Julho de 2019.;Ailton de Souza Jorge;***.759.797-**;TERMINO DE PRAZO;5446,71
000042/2019;000422/2019;14/02/2019;AQUISICAO DE PO DE CAFE DE AGRICULTORES FAMILIARES CADASTRADOS NO PRONAF PARA ATENDIMENTO DAS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, PARA O EXERCICIO DE 2019, de acordo com a Chamada Publica n.º 000005/2018;MARIA ENIZETE DO NASCIMENTO SOUZA;***.275.807-**;TERMINO DE PRAZO;800
000041/2019;000421/2018;14/02/2019;AQUISICAO DE PO DE CAFE DE AGRICULTORES FAMILIARES CADASTRADOS NO PRONAF PARA ATENDIMENTO DAS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, PARA OEXERCICIO DE 2019, de acordo com a Chamada Publica n.º 000005/2018;Estevao Mauri;***.099.797-**;TERMINO DE PRAZO;2560
