NúmeroDispensa;ModalidadeDispensa;ProcessoDispensa;AberturaDispensa;ObjetoDispensa;Base LegalDispensa;SituaçãoDispensa;ValorDispensa
000210/2019;Compra Direta;005593/2019;25/11/2019;Adesao a Ata de Registro de Precos n°32-2018 tendo a empresa Wtec Moveis e Equipamentos Tecnicos Ltda, oriunda do pregao eletronico n°16-2018 do Instituto Federal de Educacao, Ciencia e Tecnologia do Espirito Santo - IFES, onde o objeto contempla a contratacao de empresa para fornecimento de mobiliario de biblioteca para o IFES.  A referida aquisicao visa dar continualidade as acoes de reparelhamento de unidades escolares pertencentes ao Municipio.;Dispensa, Artigo 24, Inciso II;Concluida;143556,88
000208/2019;Dispensa;005150/2019;25/11/2019;Aquisicao de sistema de ensino para melhor aprimorar a qualidade do ensino ofertado pelo Municipio para a etapa de educacao infantil de 3 a 5 anos.;Dispensa, Artigo 24, Inciso II;Concluida;159057
000203/2019;Dispensa;005237/2019;21/11/2019;Contratacao de empresa para prestacao de servico de revisao de 40.000 km com troca de pecas, no veiculo Ford KA SE 1.0, ano 2018, placa PPW-4302, pertencente a Secretaria Municipal de Assistencia Social.;Dispensa, Artigo 24, Inciso XVII;Concluida;1831
000196/2019;Dispensa;005058/2019;14/11/2019;Contratacao de empresa em carater emergencial para manutencao de troca de compressor, reposicao de gas e troca de secador (filtro), referente ao unico bebedouro industrial de 100 litros localizado na cozinha que atende o predio da Prefeitura Municipal.;Dispensa, Artigo 24, Inciso II;Concluida;700
000193/2019;Dispensa;004157/2019;11/11/2019;Contratacao de empresa para prestacao de servico de revisao de 110.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo 2017-2018, placa PPL-4128, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1815
000192/2019;Dispensa;004156/2019;11/11/2019;Contratacao de empresa para prestacao de servico de revisao de 110.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo: 2017-2018, placa PPL-4129, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1410
000189/2019;Dispensa;005019/2019;04/11/2019;Aquisicao em carater de urgencia de equipamento fotopolimerizador de resinas, considerando a extrema necessidade na aquisicao do mesmo para que os servicos de atendimento bucal nao fiquem comprometidos, tendo em vista a necessidade de reposicao dos equipamentos sucateados.;Dispensa, Artigo 24, Inciso II;Concluida;2728
000188/2019;Dispensa;005109/2019;30/10/2019;Aquisicao de medicamento frente ao cumprimento da Decisao Judicial do Processo n° 0000446-24.2017.8.08.0029, ajuizada por Maria da Penha Vasques Lopes, em face o Estado do Espirito Santo e do Municipio de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;39
000187/2019;Dispensa;004158/2019;29/10/2019;Contratacao de empresa para prestacao de servico de revisao de 60.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4126, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1320
000186/2019;Dispensa;004159/2019;29/10/2019;Contratacao de empresa para prestacao de servico de revisao de 50.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4125, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1410
000185/2019;Dispensa;005022/2019;29/10/2019;Contratacao de empresa para prestacao de servico de revisao de 70.000 km com troca de pecas, no veiculo Renault Logan Expression 1.6, ano 2018, placa PPP-8611, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;2128,58
000184/2019;Dispensa;004936/2019;29/10/2019;Contratacao de empresa para prestacao de servico de revisao de 10.000 km com troca de pecas, no onibus escolar Marcopolo-Volare V8L EO, ano 2019, placa QRJ-4A50, pertencente a Secretaria Municipal de Educacao.;Dispensa, Artigo 24, Inciso XVII;Concluida;1719,41
000183/2019;Dispensa;005020/2019;29/10/2019;Contratacao de empresa para prestacao de servico de revisao de 70.000 km com troca de pecas, no veiculo Renault Sandero Expression 1.6, ano 2017, placa PPL-4127, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1978,77
000182/2019;Dispensa;005021/2019;29/10/2019;Contratacao de empresa para prestacao de servico de revisao de 60.000 km com troca de pecas, no veiculo Renault Logan Expression 1.6, ano 2018, placa PPP-8610, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;2128,58
000181/2019;Dispensa;004936/2019;29/10/2019;Contratacao de empresa para prestacao de servico de revisao de 10.000 km com troca de pecas, no onibus escolar Marcopolo-Volare V8L EO, ano 2019, placa QRI-4J52, pertencente a Secretaria Municipal de Educacao.;Dispensa, Artigo 24, Inciso XVII;Concluida;1719,41
000179/2019;Dispensa;005037/2019;23/10/2019;Manutencao dos veiculos do transporte escolar Placa ODN-8615, ODR-3946 E ODN-8616 considerando que os mesmos estao apresentando problemas mecanicos, podendo estar comprometendo o transporte de alunos da rede Municipal e Estadual.;Dispensa, Artigo 24, Inciso II;Concluida;12560
000176/2019;Dispensa;004827/2019;15/10/2019;Contratacao de empresa para emissao de passagem aerea em nome do Secretario Municipal de Educacao, com destino a Belo Horizonte, nos dias 29 e 30-10, com objetivo de participacao d mesmo no Congresso Mineiro de Educacao Inclusiva.;Dispensa, Artigo 24, Inciso II;Concluida;846,84
000172/2019;Dispensa;004835/2019;07/10/2019;Adesao a Ata de Registro de Precos n°181-2018, oriunda do Pregao Presencial n° 43-2018 realizado pelo Municipio de Anchieta - ES, onde o objeto e destinado para Contratacao de empresa para prestacao de servicos de arbitragem para campeonatos e torneios Municipais de Futebol de campo, futebol de areia - beach soccer, futebol de salao - futsal e futebol society - futebol 7.;Dispensa, Artigo 24, Inciso II;Concluida;17608,6
000171/2019;Dispensa;004560/2019;07/10/2019;Adesao a Ata de Registro de Precos n°24-2019, oriunda do pregao eletronico n°036-2019 realizada pela Prefeitura Municipal de Jaru - RO, onde o objeto do referido pregao e aquisicao de material permanente, onde a empresa AFF Comercio e Industria de Moveis Ltda - EPP. O pedido se faz necessario para que se possa atender as necessidades do CMEI Diva Saviato Duarte, considerando que ja foram realizadas duas licitacoes para a referida aquisicao, nao concluidas.;Dispensa, Artigo 24, Inciso II;Concluida;66528
000167/2019;Dispensa;003661/2019;04/10/2019;Confeccao de jogos de uniforme completo para apoiar as comunidades Municipais, considerando divulgacao do campeonato Municipal de Futebol de campo.;Dispensa, Artigo 24, Inciso XVII;Concluida;8868
000166/2019;Dispensa;004482/2019;26/09/2019;Aquisicao de placa de identificacao de veiculo oficial padrao Mercosul, pertencente a este Municipio, considerando que o objetivo de tal pedido se faz necessario, visto que o veiculo foi adquirido recentemente e precisa estar sendo devidamente regularizados junto ao Departamento Estadual de Transito do Espirito Santo - DETRAN ES.;Dispensa, Artigo 24, Inciso II;Concluida;100
000165/2019;Dispensa;004469/2019;16/09/2019;Contratacao de empresa para prestacao de servico de revisao de 10.000 km com troca de pecas, no veiculo GM Montana Marimar Ambulancia, ano 2019, placa QRH-7G54, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;970
000163/2019;Dispensa;004299/2019;04/09/2019;Adesao a Ata de Registro de Precos n°031-2018 oriunda do pregao presencial n°163-2018, empresa, Longhitron Ltda - ME, da Prefeitura Municipal de Castelo - ES, objetivando a contratacao de empresa especializada na prestacao de servico de locacao de sonorizacao, iluminacao, palco para serem utilizados em eventos promovidos pela Administracao publica do Municipio de Castelo - ES.;Dispensa, Artigo 24, Inciso II;Concluida;54140
000158/2019;Dispensa;003838/2019;26/09/2019;Aquisicao de placa de identificacao de veiculos oficiais, pertencentes a este Municipio, considerando que o objetivo de tal pedido se faz necessario para que os veiculos possam estar sendo devidamente regularizados junto ao Departamento Estadual de Transito do Espirito Santo - DETRAN ES.;Dispensa, Artigo 24, Inciso II;Concluida;200
000154/2019;Dispensa;003616/2019;20/08/2019;Contratacao de empresa para prestacao de servico de revisao de 20.000km com troca de pecas no veiculo Renault Logan EXP 1.6 SCE placa PPL-8603, ano 2018, pertencente a Secretaria Municipal de Fazenda.;Dispensa, Artigo 24, Inciso XVII;Concluida;1552,21
000153/2019;Inexigibilidade;003302/2019;19/08/2019;Contratacao da equipe Adrenalina Moto Show, para realizacao de evento esportivo de manobras radicais sobre duas rodas durante as festividades da XXVI Expoagro de Jeronimo Monteiro. A apresentacao dera realizada no dia 08-09, na praca central do Municipio.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;45000
000150/2019;Dispensa;003950/2019;14/08/2019;Contratacao de empresa para montagem, desmontagem e instalacao de poste de alta e baixa tensao e ligacoes de barracas, com exclusao dos materiais, incluindo dois eletricistas para atendimento nos dias 03 a 09 de setembro de 2019, para realizacao dos festejos da 26ª Expoagro de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso I;Concluida;17437,4
000149/2019;Inexigibilidade;002994/2019;13/08/2019;Show musical e artistico com o grupo Sambo no dia 07 de setembro de 2019 a partir das 21 horas, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;70000
000148/2019;Inexigibilidade;002847/2019;13/08/2019;Show musical e artistico com a dupla Henrique e Diego  no dia 06 de setembro de 2019 a partir das 23 horas, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;100000
000147/2019;Inexigibilidade;002846/2019;13/08/2019;Show musical e artistico com a dupla Thaeme e Thiago no dia 07 de setembro de 2019 a partir das 00:40 h, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;100000
000146/2019;Inexigibilidade;002845/2019;13/08/2019;Show musical e artistico com a dupla Munhoz & Mariano no dia 08 de setembro de 2019 a partir das 21 horas, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;110000
000145/2019;Inexigibilidade;003012/2019;13/08/2019;Show musical e artistico com a dupla Welington e Laiza  no dia 08 de setembro de 2019 a partir das 18 horas, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;10000
000144/2019;Inexigibilidade;003011/2019;13/08/2019;Show musical e artistico com a banda Ke Swing Bom no dia 06 de setembro de 2019 a partir das 20 horas, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;13000
000143/2019;Inexigibilidade;003010/2019;13/08/2019;Show musical e artistico com a banda Viva Som no dia 05 de setembro de 2019 a partir das 20 horas, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;6000
000142/2019;Inexigibilidade;002848/2019;13/08/2019;Show musical e artistico com a dupla Rick e Renner no dia 05 de setembro de 2019 a partir das 23 horas, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;80000
000141/2019;Inexigibilidade;003719/2019;13/08/2019;"Show musical e artistico com ""Glauco Zulo"" no dia 07 de setembro de 2019 a partir das 22h e 30 min, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada nos dias 05-09 a 08-09-2019 no Parque de Exposicoes Lourival Lougon Moulin.";Inixigibilidadae, Artigo 25, Inciso III;Concluida;15000
000137/2019;Dispensa;003545/2019;20/08/2019;Contratacao de empresa especializada na prestacao de servicos de Buffet para atendimento as solicitacoes de camarins das duplas Rick e Renner, Henrique e Diego, Sambo, Thaeme e Thiago, Munhoz e Mariano e bandas regionais a se apresentarem na XXVI Expoagro de Jeronimo Monteiro, que ira acontecer de 05-09 a 08-09 no parque de exposicoes Lourival Lougon Moulin.;Dispensa, Artigo 24, Inciso II;Concluida;8496,75
000136/2019;Dispensa;003817/2019;21/08/2019;Contratacao de empresa para manutencao preventiva e corretiva com troca de pecas da impressora SLM 4080 FR pertencente as Secretarias Municipais.;Dispensa, Artigo 24, Inciso II;Concluida;4230
000135/2019;Dispensa;003675/2019;09/08/2019;Aquisicao de copos de agua mineral para atendimento a Secretaria de Educacao, visando a composicao do Kit de hidratacao para os competidores da Corrida da Laranja, que acontecera no dia 07 de setembro de 2019, durante os festejos da XXVI Expoagro de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;1008
000133/2019;Dispensa;003372/2019;04/10/2019;Contratacao de empresa para aquisicao de poste de concreto circular, incluindo servico de retiragem do porte antigo existente que se encontra em pessimo estado de conservacao e instalacao do poste na Praca Antonio Alves Duarte na Av. Governador Carlos Lindemberg nesta Cidade.;Dispensa, Artigo 24, Inciso II;Concluida;2500
000131/2019;Inexigibilidade;003141/2019;05/08/2019;Show musical e artistico com o grupo musical Curtisom, a ser realizado no dia 18 de agosto de 2019 em virtude das festividades da Associacao de Moradores do Bairro Santa Clara em Jeronimo Monteiro.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;2000
000130/2019;Dispensa;003247/2019;12/08/2019;Hospedagem com pernoite para os artistas e demais integrantes de sua equipe em geral, em virtude da realizacao da XXVI Expoagro de Jeronimo Monteiro, a ser realizada de 05-09 a 08-09 no parque de exposicoes Lourival Lougon Moulin.;Dispensa, Artigo 24, Inciso II;Concluida;8600
000129/2019;Dispensa;003181/2019;25/07/2019;Pavimentacao das ruas Jose Calazans, localizada no bairro Vila Cruzeiro e rua Nilo de Mello, localizada no bairro Parada Cristal - Baixinha, situadas no perimetro urbano de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso I;Concluida;30589,18
000128/2019;Dispensa;000760/2019;24/07/2019;Aquisicao de medicamentos em favor de paciente residente deste Municipio, em atendimento a medida liminar anteriormente concedida, conforme processo judicial n°0000389-06.2017.8.08.0029.;Dispensa, Artigo 24, Inciso II;Concluida;957
000126/2019;Inexigibilidade;003424/2019;19/07/2019;Show musical e artistico com Alex Campanha a ser realizado no dia 20-07, em virtude das festividades da comunidade rural de Oriente, evento constante no calendario de eventos do Municipio, conforme Lei 1552-2014.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;15000
000125/2019;Dispensa;003410/2019;22/07/2019;Aquisicao de passagens aereas Vitoria-ES X Brasilia-DF X Vitoria-ES, em nome do Prefeito Municipal Sergio Farias Fonseca, Objetivando a captacao de recursos para o Municipio junto ao Governo Federal, atraves de encontro com Senadores e Deputados Federais.;Dispensa, Artigo 24, Inciso II;Concluida;422,24
000124/2019;Dispensa;003338/2019;20/08/2019;Contratacao de servicos de locucao para atendimento as festividades da XXVI Expoagro, que acontecera entre os dias 05/09 a 08/09 no parque de exposicoes Lourival Lugon Moulin.;Dispensa, Artigo 24, Inciso II;Concluida;880
000122/2019;Inexigibilidade;002993/2019;16/07/2019;Contratacao de show musical e artistico da banda Garotos Tradicao considerando realizacao do X Arraia da Felicidade das escolas Municipais e sociedade Pestalozzi, a ser realizado no dia 27-07.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;12000
000121/2019;Dispensa;001219/2019;16/07/2019;Locacao de uma area para disposicao de residuos solidos nao poluentes originarios da varricao dos logradouros publicos, residuos de apinas e residuos de construcao civil, descartados pela populacao nas ruas e avenidas da nossa cidade.;Dispensa, Artigo 24, Inciso X;Concluida;7938,24
000118/2019;Dispensa;003135/2019;12/08/2019;Aquisicao de bancos confeccionados em madeira  para serem instalados em alguns pontos de onibus demarcados pelo DETRAN-ES, visando uma melhor acomodacao e conforto aos usuarios.;Dispensa, Artigo 24, Inciso II;Concluida;1920
000115/2019;Inexigibilidade;002784/2019;08/07/2019;Aquisicao de peca para Pa Carregadeira Caterpillar 924 K, ano 2013, pertencente a Secretaria Municipal de Desenvolvimento Rural Sustentavel, para manutencao do referido equipamento, objetivando continuidade do servico executado.;Inixigibilidadae, Artigo 25, Inciso I;Concluida;6047,41
000114/2019;Dispensa;003186/2019;05/07/2019;Locacao de palco, som e iluminacao em virtude da realizacao das festividades da comunidade rural de Rancharia, localizado na zona rural deste Municipio, que acontecera entre os dias 06 e 07-07. Considerando que o convite n°05-2019 com o mesmo objeto solicitado, sagrou-se fracassado.;Dispensa, Artigo 24, Inciso II;Concluida;5900
000112/2019;Dispensa;002404/2019;24/07/2019;Aquisicao de extintores de incendio para serem instalados no predio desta Secretaria, com intuito de atender as normas de seguranca vigentes.;Dispensa, Artigo 24, Inciso II;Concluida;13122
000111/2019;Inexigibilidade;002873/2019;04/07/2019;Show musical e artistico com o grupo musical Curtisom, a ser realizado no dia 07-07-2019 (domingo), em virtude das festividades da comunidade de Rancharia, zona rural de Jeronimo Monteiro.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;2000
000110/2019;Dispensa;002823/2019;28/06/2019;Contratacao de empresa para prestacao de servico de revisao com troca de pecas, no Caminhao Iveco, modelo Tector 240E28, ano-modelo 2017-18, placa PPW-5912, pertencente a Secretaria Municipal de Desenvolvimento Rural Sustentavel.;Dispensa, Artigo 24, Inciso XVII;Concluida;1089,39
000109/2019;Dispensa;002939/2019;05/07/2019;Aquisicao de equipamentos para utilizacao dos trabalhos a serem realizados por servidores da Secretaria de Desenvolvimento Urbano, Obras Publicas e Transportes, tendo em vista que sao de fundamental  importancia para os mesmos.;Dispensa, Artigo 24, Inciso II;Concluida;1306
000108/2019;Dispensa;002810/2019;26/06/2019;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas, no veiculo Ford KA SE 1.0, ano 2018, placa PPW-4302, pertencente a Secretaria Municipal de Assistencia Social.;Dispensa, Artigo 24, Inciso XVII;Concluida;890
000106/2019;Dispensa;002791/2019;25/06/2019;Contratacao de empresa para prestacao de servico de revisao de 50.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4126, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1760
000105/2019;Dispensa;002837/2019;15/07/2019;Vistoria mecanica com emissao de laudo junto a Companhia Estadual de Transportes Coletivos de Passageiros do Estado do Espirito Santo (CETURB) em empresa credenciada, do veiculo VW/Mascarello (TransPovo), placa QRH-6A95, recentemente adquirido por esta Secretaria.;Dispensa, Artigo 24, Inciso II;Concluida;378
000103/2019;Inexigibilidade;002576/2019;19/06/2019;Show musical e artistico com o grupo musical Curtisom, a ser realizado no dia 23-06-2019 (domingo), em virtude das festividades da comunidade Sao Joao Batista, Localidade de Luzitanea, zona rural de Jeronimo Monteiro.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;2000
000103/2019;Dispensa;004237/2019;02/09/2019;Aquisicao de saibro processado ou beneficiado para cobrir o patio do parque de exposicoes Lourival Lugon Moulin, em virtude da realizacao da XXVI Expoagro, que acontecera entre os dias 05 a 08 de setembro.;Dispensa, Artigo 24, Inciso II;Concluida;9798
000102/2019;Compra Direta;003468/2019;19/08/2019;Vistoria mecanica com emissao de laudo junto CETURB-ES, em 02 (dois)  veiculos Mercedes Benz Sprinter, placa QRB-9936 e QRI-OD83, pertencente ao Fundo Municipal de Saude, uma vez que estes veiculos estao transportando pacientes para atendimento  fora do domicilio, onde trafegam em rodovias fiscalizadas pela Policia Rodoviaria Federal.;Dispensa, Artigo 24, Inciso II;Concluida;756
000102/2019;Dispensa;004010/2019;03/09/2019;Contratacao de empresa para aquisicao de porta de vidro temperado incolor, resvetida de pelicula insulfilm, para reposicao de parte da porta de entrada da Secretaria de Educacao, onde a mesma trincou e quebrou.;Dispensa, Artigo 24, Inciso II;Concluida;990
000101/2019;Inexigibilidade;002392/2019;14/06/2019;Show musical e artistico com o grupo musical Curtisom, a ser realizado no dia 16-06-2019 (domingo), no parque de exposicoes Lourival Lougon Moulin em virtude do apoio ao 13° encontro de trilheiros.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;2000
000101/2019;Dispensa;002675/2019;12/06/2019;Contratacao de empresa para locar portico de largada, backdrop e efetuar a cronometragem eletronica em virtude da realizacao da 5ª Corrida da Laranja, que ira ocorrer neste Municipio, no dia 07-09, atraindo diversos participantes de outras Municipalidades, movimentando assim o comercio local na area de hospedagem, alimentacao e etc.;Dispensa, Artigo 24, Inciso II;Concluida;5290
000101/2019;Compra Direta;002551/2019;06/08/2019;Contratacao de empresa para aquisicao de equipamentos antropometricos, para  medicao de peso e estatura, destinados a atender as Unidades Basicas de Saude do Municipio de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;6698,8
000100/2019;Compra Direta;001925/2019;11/06/2019;Aquisicao de marmitex para serem fornecidas aos profissionais da Secretaria de Educacao e Assistencia Social, os eventos promovidos neste exercicio.;Dispensa, Artigo 24, Inciso II;Concluida;3240
000097/2019;Dispensa;002397/2019;11/06/2019;Aquisicao de EPI, para atendimento ao Termo de Ajuste de Conduta (TAC), firmado com o Ministerio Publico do Trabalho, para os funcionarios da Secretaria de Obras deste Municipio.;Dispensa, Artigo 24, Inciso II;Concluida;800
000096/2019;Dispensa;002434/2019;04/06/2019;Contratacao de empresa para prestacao de servico de revisao de 100.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo: 2017-2018, placa PPL-4129, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;2675
000091/2019;Dispensa;002398/2019;02/07/2019;Aquisicao de bobinas termicas para relogio de ponto, objetivando atendendimento aos pontos eletronicos dos estabelecimentos vinculados a Secretaria Municipal de Educacao deste Municipio para o decorrer do ano de 2019.;Dispensa, Artigo 24, Inciso II;Concluida;1920
000090/2019;Inexigibilidade;001877/2019;22/05/2019;Contratacao de show musical  regional com a banda Curtsom, a ser realizado no dia 24-05-2019, na praca da Biblia, localizada no cento da cidade, no evento UFES na praca.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;2000
000089/2019;Dispensa;002265/2019;21/05/2019;Contratacao de empresa para prestacao de servico de revisao de 100.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo 2017-2018, placa PPL-4128, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;2320
000088/2019;Dispensa;002238/2019;16/07/2019;Contratacao de empresa para fornecimento de 18.000 kg de massa asfaltica em embalagem contendo 40kg ou 25kg cada. Esta aquisicao se faz necessaria em virtude da avenida principal de nossa cidade, serem recobertas em camada asfaltica e e necessario proceder reparos no mesmo, principalmente durante intervencoes do SAAE.;Dispensa, Artigo 24, Inciso II;Concluida;15084
000084/2019;Dispensa;001852/2019;09/05/2019;Contratacao de empresa para prestacao de servico de revisao de 40.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4125, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1370
000083/2019;Dispensa;001853/2019;07/05/2019;Contratacao de empresa para prestacao de servico de revisao de 40.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4126, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1370
000082/2019;Dispensa;002106/2019;05/06/2019;Aquisicao de inseticida de uso profissional para saude publica, para ser aplicado no Municipio em decorrencia dos altos indices de infestacao pelo Aedes Aegypti, popular mosquito da dengue, zika e chikungunya.;Dispensa, Artigo 24, Inciso IV;Concluida;11160
000081/2019;Inexigibilidade;001940/2019;03/05/2019;"Contratacao da empresa Eliel de Vasconcellos Gallo 03093429706, objetivando show musical e artistico com o grupo musical ""curtisom"", a ser realizado no dia 05-05 (domingo) em virtude de festejos a serem realizados na Comunidade de Sao Floriano - Oriente.";Inixigibilidadae, Artigo 25, Inciso III;Concluida;2000
000080/2019;Dispensa;002051/2019;03/05/2019;Locacao de imovel localizado na rua Joao Damasceno Caten, bairro parana, para acomodacao do setor de almoxarifado deste Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso X;Concluida;6226,08
000079/2019;Dispensa;001909/2019;06/05/2019;Aquisicao de EPIs, para atendimento ao Termo de Ajuste de Conduta (TAC), firmado com o Ministerio Publico do Trabalho, para os funcionarios da Secretaria de Obras deste Municipio.;Dispensa, Artigo 24, Inciso II;Concluida;6020,92
000074/2019;Dispensa;001704/2019;24/04/2019;Contratacao de empresa para prestacao de servico de revisao de 50.000 km com troca de pecas, no veiculo Renault Logan Expression 1.6, ano 2018, placa PPP-8610, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1894
000073/2019;Dispensa;001701/2019;24/04/2019;Contratacao de empresa para prestacao de servico de revisao de 60.000 km com troca de pecas, no veiculo Renault Logan Expression 1.6, ano 2018, placa PPP-8611, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1894
000072/2019;Dispensa;001702/2019;24/04/2019;Contratacao de empresa para prestacao de servico de revisao de 60.000 km com troca de pecas, no veiculo Renault Sandero Expression 1.6, ano 2017, placa PPL-4127, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1894
000071/2019;Dispensa;001700/2019;24/04/2019;Contratacao de empresa para prestacao de servico de revisao de 40.000 km com troca de pecas no veiculo Van Mercedes Bens Sprinter, ano-modelo   18-19, placa QRB-9936, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1162,45
000066/2019;Dispensa;004721/2018;17/04/2019;Contratacao de empresa para realizacao de manutencao tecnica preventiva e corretiva em equipamentos odontologicos em todas as unidades de saude pertencentes a este Municipio.;artigo 24, inciso II;Concluida;8250
000060/2019;Dispensa;001282/2019;06/05/2019;Contratacao de empresa para aquisicao emergencial de material para uso em laboratorio, visando continuidade nos atendimementos prestados pela Vigilancia Epidemiologica desta municipalidade.;Dispensa, Artigo 24, Inciso II;Concluida;3446,48
000057/2019;Dispensa;000128/2019;25/03/2019;Contratacao de empresa para prestacao de servico de manutencao corretiva e preventiva da Camara Cientifica Indrel, modelo: RVV 440D-SS, utilizada para armazenamento e conservacao de imunobiologicos e medicamentos na Secretaria Municipal de Saude.;Dispensa, Artigo 24, Inciso II;Concluida;2880
000056/2019;Dispensa;000999/2019;25/03/2019;Contratacao de empresa para prestacao de servico de revisao de 100 horas com troca de pecas, na retroescavadeira JCB 3CX 4x4 T CF, ano 2018, pertencente a Secretaria Municipal de Desenvolvimento Rural Sustentavel.;Dispensa, Artigo 24, Inciso XVII;Concluida;3558,75
000055/2019;Dispensa;001224/2019;25/03/2019;Contratacao de empresa para prestacao de servico de revisao de 10.000 km com troca de pecas no veiculo Citroen Air Cross Start, ano 17-18, placa OYK-7796, pertencente a Secretaria de Assistencia Social.;Dispensa, Artigo 24, Inciso XVII;Concluida;781,1
